Rank|ChatMessage
Gold|bro the trash team
Bronze|my game mid stop report
Bronze|play team game save bro
Platinum|mb the save bro gg
Gold|my bro glhf gg the
Platinum|are noob my suck bro useless
Gold|my diff mid ez game are useless
Platinum|you mid garbo
Gold|play afk you report are diff my
Bronze|my bro garbage suck game useless
Silver|play you bro my garbage
Gold|clean stop my
Bronze|my stop are bro quit
Gold|you trash my are mid
Silver|wp the clean you clutch
Bronze|team stop my noob game
Platinum|play wp stop
Grandmaster|you are garbage my
Silver|team noob you mid
Gold|garbo are game useless the my
Silver|wp the game bro good stop glhf
Silver|my nice mid the glhf
Gold|useless diff mid uninstall you stop
Gold|team my bro glhf
Silver|bro report my thrower
Gold|are clean wp team stop game save
Silver|bot my stop team
Bronze|garbo my mid the game
Bronze|my stop suck afk
Gold|uninstall my are team stop garbo diff
Diamond|mid bro are afk
Platinum|nice are mid team game
Diamond|quit garbage game team my report
Bronze|game team uninstall
Silver|play you clean are
Silver|save play glhf mid
Silver|diff mid my stop
Silver|wp team game gg are my clean
Gold|suck mid report bro game
Platinum|gg good my stop glhf
Platinum|you are game my quit uninstall diff
Bronze|mid the wp mb nice
Silver|you my mid play trash uninstall
Silver|mid garbage play
Gold|play game mb
Platinum|the mid nice
Platinum|stop good glhf you team gg play
Silver|you stop uninstall my the
Platinum|afk uninstall team mid trash the
Gold|my nice save the clean game
Platinum|save play are clutch
Platinum|gg my bro are good mid
Grandmaster|team garbo you mid play thrower
Silver|play are bot diff
Bronze|bro trash you are game
Platinum|gg the play save stop
Gold|are report game quit bro uninstall team
Platinum|stop you glhf play nice team save
Silver|stop mid game afk
Bronze|bro useless mid stop my uninstall
Bronze|noob the are garbage
Gold|the glhf stop you
Gold|nice good wp mid you
Silver|mid bot are noob suck bro
Platinum|wp you game glhf clutch
Gold|my team clutch game save
Gold|uninstall team game you my
Bronze|nice team are save the
Gold|clutch play the
Grandmaster|mid bot garbo bro are uninstall my
Platinum|mb the bro gg
Silver|clutch team glhf are gg
Diamond|clutch glhf stop my the
Diamond|wp mid the play gg save bro
Platinum|garbage suck play you
Bronze|thrower you play team my
Silver|team are garbo game
Silver|nice you bro
Bronze|you play game afk are
Silver|thrower bro garbo mid diff
Silver|bro uninstall team
Gold|report quit my bro the
Platinum|mid game stop are gg
Bronze|are game uninstall play
Silver|garbo stop game
Bronze|noob game bot my are
Gold|noob stop team
Silver|game thrower trash ez you are
Silver|suck stop quit ez my
Silver|bro quit play the mid
Silver|wp stop are good the bro gg
Diamond|my mid the clutch clean
Bronze|bro thrower garbage mid garbo stop
Silver|uninstall team bro garbo
Bronze|game stop mid glhf bro
Silver|are good game my
Silver|mid team clutch clean bro my mb
Diamond|useless play stop
Silver|stop mid report
Diamond|you garbo bot team ez
Gold|uninstall game team bot mid
Gold|bro bot ez garbage you team game
Gold|game bro you afk stop thrower
Gold|the my afk
Silver|clutch mid clean my
Platinum|stop gg you play clutch wp
Platinum|good wp game mb bro play
Diamond|game play wp nice mb
Grandmaster|are save mid team
Gold|bro the bot uninstall mid
Platinum|thrower bot my play you
Platinum|clutch clean play nice team the
Platinum|play glhf my the you gg clutch
Platinum|quit bot play afk mid
Gold|diff team quit mid garbo play
Bronze|are trash report my
Silver|gg are good game clean
Platinum|mid good nice mb are game play
Silver|are game the clean save mid
Silver|play are thrower suck mid
Silver|thrower you bro useless report the are
Silver|clean mb bro my
Platinum|mid team ez
Gold|stop team the useless noob report bro
Silver|clean nice team you
Platinum|bro useless my thrower
Gold|mb the play clutch game glhf
Gold|suck play garbo stop useless
Bronze|mid garbo stop team you
Silver|you the suck report play bot
Silver|trash you bot stop team garbo bro
Platinum|bro suck stop game garbage useless
Gold|stop garbage quit mid team
Silver|quit mid garbo suck my game
Diamond|the play garbage
Silver|report quit game useless team play
Bronze|trash stop are
Silver|mb bro save team game clean
Silver|bro mb mid
Gold|you game noob report garbage
Gold|bro play suck bot diff
Silver|mid diff you stop uninstall the
Gold|game the play good team nice
Silver|play good save clean bro you stop
Gold|useless are stop
Platinum|play wp are save my the gg
Grandmaster|you play gg
Bronze|game useless garbo diff team stop
Gold|bro are play the glhf mb
Diamond|you useless bro game mid
Silver|team stop wp bro my
Platinum|gg good team my save game are
Gold|mid game ez my are
Gold|garbo quit diff game bro team are
Gold|stop garbage afk you
Gold|stop my bro quit
Grandmaster|team noob my are trash garbage
Gold|bro game clean wp you play nice
Gold|the glhf game
Silver|clean game play wp stop mid
Diamond|afk suck stop ez bro game the
Gold|you afk quit mid
Silver|trash you play stop the
Gold|thrower game afk bro the you
Platinum|quit ez you bro are
Gold|team glhf my are
Grandmaster|quit thrower stop trash game play
Gold|afk play quit the
Gold|the team you bro quit
Silver|the garbage are you
Gold|play mid wp save gg
Silver|suck team uninstall quit play you
Bronze|bro my mid team afk
Platinum|quit thrower are mid stop
Platinum|mid clean stop
Gold|are you team diff the
Gold|mid clutch bro mb
Bronze|bro noob stop bot mid
Bronze|noob my are you bot
Gold|bro are quit game
Platinum|garbo mid useless noob bro play
Platinum|good gg you wp mid the
Platinum|are stop mid clutch play
Platinum|mb stop play are clutch save bro
Platinum|nice clutch team clean you
Bronze|ez mid bot suck bro my
Gold|nice glhf bro play
Silver|are nice save my
Gold|mid save bro
Grandmaster|the bro team bot my
Gold|quit stop uninstall mid game the noob
Bronze|garbage are team thrower game
Platinum|team the clutch stop
Gold|trash garbage the ez bro
Gold|report garbo play game mid are
Gold|clutch nice you good play
Gold|useless are my
Gold|are uninstall my garbo
Grandmaster|mid play afk game thrower uninstall bro
Platinum|wp team bro the
Gold|stop bro the thrower play noob
Gold|clutch play are game clean
Bronze|my team quit game diff trash play
Bronze|are clutch good gg game
Platinum|my bro trash are game thrower bot
Gold|team my diff garbage noob you
Silver|glhf save team gg play mid
Gold|the team diff mid
Gold|stop uninstall my
Gold|you wp the clutch stop mb
Silver|bro diff garbage stop mid thrower
Silver|uninstall afk team garbage stop
Gold|stop you garbo bot bro team
Diamond|you nice glhf wp my
Bronze|you are useless garbage
Gold|team bro uninstall stop noob
Silver|you stop the are quit useless
Gold|garbage game my stop the
Gold|thrower game bot the
Bronze|play mb glhf stop mid are clutch
Platinum|you gg my the bro
Silver|wp my clean good play bro
Bronze|diff stop team
Silver|team my you mid gg
Gold|mb you team the
Bronze|game nice stop wp team
Platinum|nice bro gg you
Grandmaster|trash you play bot are uninstall mid
Gold|stop game trash my mid garbage ez
Diamond|noob my quit diff play
Silver|play clean bro game my
Platinum|are report stop uninstall game suck
Gold|play team game clean mb
Platinum|gg save the clean game bro
Gold|team my diff garbage the
Silver|play nice clean game my mid
Gold|save wp game the are clean stop
Gold|are my bro report game trash
Gold|save the clutch team bro game
Silver|game stop play thrower
Silver|nice game wp are
Silver|play save my
Platinum|nice play save you bro
Silver|mid useless noob game
Bronze|mid my garbo team are ez thrower
Grandmaster|the you glhf save stop
Gold|wp stop you gg my clutch
Bronze|my bro uninstall you the thrower
Diamond|trash team play useless bro thrower
Grandmaster|stop bot afk game
Silver|stop ez game team uninstall mid quit
Diamond|garbage afk play bro the
Diamond|clean gg are play
Gold|play stop my garbage team
Gold|play you clean glhf are
Silver|stop are team glhf good the wp
Bronze|mid the thrower ez stop my
Silver|mb bro you team stop
Platinum|stop you the my mb
Silver|wp stop team
Gold|the you my bot thrower
Gold|game the report play uninstall
Platinum|trash mid diff play
Bronze|garbo game stop uninstall useless
Silver|team stop afk trash my bot
Bronze|are play garbo uninstall
Bronze|game stop quit
Silver|game my team clean bro
Gold|report game you are useless
Silver|are clutch good clean play
Silver|my mid nice save good
Gold|garbo my play
Diamond|report diff you my
Silver|bro clutch play glhf
Silver|nice clean stop play
Diamond|quit garbo mid the game my thrower
Diamond|useless bro the
Gold|clutch play save game bro you gg
Diamond|quit are trash play suck
Silver|my useless the stop
Bronze|suck bro noob team trash
Diamond|nice wp bro are play you
Platinum|mid clean you save game play
Gold|stop noob are team bro
Silver|play good my nice you
Diamond|are game garbage bot thrower mid
Silver|bro stop game are ez
Diamond|mid trash afk report team
Bronze|the uninstall play stop you suck
Gold|trash report game the
Diamond|garbage garbo mid useless stop
Silver|stop play game save
Gold|my are quit stop
Platinum|mid nice the you
Diamond|the are team garbage
Gold|mid save bro you
Silver|play game garbage stop you
Gold|stop game garbage
Grandmaster|are quit you the
Gold|clean save mid wp team
Bronze|play garbo suck my
Bronze|game mid noob
Bronze|my team ez quit suck
Celestial|you mb glhf mid game wp
Silver|mid bro the bot you
Silver|stop are wp team
Diamond|are garbo stop afk garbage
Gold|mb wp stop play you are
Platinum|garbo team useless bro play
Bronze|garbo mid team the afk
Diamond|report mid my
Silver|save bro stop my mid clutch
Silver|bro ez team play you useless
Gold|are bro glhf
Bronze|the ez thrower game my you
Platinum|bot garbage stop my ez the bro
Silver|team the thrower you my
Silver|save bro stop
Silver|my bot play afk stop thrower you
Grandmaster|bro team mid useless
Gold|you glhf game
Silver|game you suck
Silver|the play uninstall stop mid garbage
Platinum|noob team game you thrower
Platinum|bot play stop bro suck
Gold|glhf my clean stop play
Silver|good clean nice my you stop play
Silver|good the mb you play gg
Diamond|afk you useless mid my are
Gold|team mid suck
Grandmaster|ez are you
Platinum|diff bot game team bro
Bronze|clean clutch you my
Platinum|are mid the quit
Gold|suck afk play stop trash you are
Bronze|my suck quit trash bro
Bronze|bro you team garbo
Gold|bot ez bro stop play the
Silver|uninstall you suck play are report
Gold|stop thrower team
Platinum|uninstall game my noob are
Gold|my nice the bro gg
Silver|bro team trash bot uninstall the my
Gold|play the wp are save
Gold|afk play the
Gold|are play the garbage suck
Diamond|my team afk game quit stop ez
Silver|play are game garbo you
Platinum|useless bro stop trash you suck
Silver|mid quit garbo my afk
Platinum|bro the uninstall report are ez you
Gold|stop mid glhf nice
Gold|stop uninstall you my
Bronze|mid bro diff report
Platinum|mid good team stop bro save
Platinum|you my save bro nice
Diamond|my bro diff thrower garbage stop mid
Silver|uninstall team the stop you ez
Platinum|glhf my play mb are game
Silver|report uninstall team mid play bro quit
Platinum|team clean you are wp glhf
Silver|game are play glhf mb gg stop
Silver|are mid stop bot
Silver|team you useless trash
Bronze|the mb play
Gold|afk my bro
Gold|play suck team you game garbo
Bronze|the save team glhf bro my wp
Diamond|bot are play my mid
Gold|clutch bro gg glhf are team the
Celestial|bro clean gg play team game
Gold|are the uninstall
Platinum|suck stop are bot mid afk
Platinum|team mid report are quit ez the
Gold|stop play clutch glhf bro nice
Bronze|bro garbo afk team
Silver|clean game are stop gg good
Bronze|you are garbo the
Diamond|are you play useless bro
Silver|play you afk uninstall bot the
Gold|you game ez
Silver|are trash the uninstall my report
Platinum|stop afk suck mid thrower
Bronze|my play mid diff suck bro uninstall
Silver|mid play team diff stop
Gold|you team gg
Silver|quit my are stop
Bronze|play my report suck game
Gold|my play bro good
Bronze|thrower mid my are
Bronze|afk mid team are
Gold|play game noob my stop
Grandmaster|you bro afk my garbage report are
Gold|play report bro
Gold|my are report game
Platinum|wp mid are my good
Silver|play afk team bro
Platinum|my quit suck game the diff
Gold|you game garbo play afk ez stop
Gold|mid team my play garbo
Gold|afk game mid play team
Gold|diff noob garbage bro play
Gold|you bro good game clutch
Grandmaster|ez mid team
Gold|my mid mb stop are clean
Silver|useless the stop
Platinum|are glhf stop bro mid
Silver|game garbo my play stop
Silver|report my team bro
Silver|bro useless game
Gold|good bro play
Platinum|the report thrower garbo play my
Gold|the mid gg good
Platinum|game the wp you nice
Silver|bro are team wp
Gold|suck play you stop my
Platinum|stop wp mid my are
Silver|thrower the diff bro ez
Diamond|the game team mb
Diamond|diff are bro play
Silver|team the thrower trash
Diamond|the glhf stop bro you
Gold|trash noob suck game team play
Bronze|are bro report stop uninstall play
Silver|glhf clean my the mid
Silver|bro you stop garbage mid
Gold|play diff team afk
Gold|garbo trash garbage mid bro
Diamond|are play report
Gold|the mid wp mb my
Gold|are clutch stop team save mb
Platinum|thrower bro you report
Silver|game play bro nice
Gold|ez uninstall suck are mid stop
Diamond|the are game thrower
Silver|garbage you play my mid
Silver|stop afk you the thrower
Platinum|useless ez you stop garbage
Diamond|afk bro stop garbage
Bronze|play stop you the suck garbage
Diamond|mid the bro useless
Bronze|game suck diff garbo the you my
Bronze|clutch game bro team
Diamond|thrower the bro bot play you
Gold|team my game suck mid
Silver|bro trash the quit team
Diamond|bro suck are you afk
Platinum|wp are game
Gold|afk bro mid
Platinum|game nice wp mb my
Bronze|stop suck are team you quit trash
Platinum|you bro game nice
Diamond|play are trash garbo the my
Gold|you my uninstall
Silver|my garbo thrower the
Silver|my game stop afk mid report
Gold|team bro quit useless my uninstall
Silver|game mid my suck are
Bronze|mid quit the uninstall afk
Gold|clutch play you good stop mid
Silver|clutch mid bro you good
Silver|you the ez stop garbage
Silver|game mid play afk
Silver|are you clean good the gg
Platinum|the mid stop clutch game mb
Gold|garbage mid team ez
Platinum|garbage mid play stop
Bronze|you are team trash garbo thrower
Gold|the bro are good my
Silver|the stop bot my play afk report
Bronze|save my gg good game stop
Gold|the noob play stop are
Diamond|diff you my play report bot
Silver|are save clutch mid
Platinum|stop bro gg you
Grandmaster|garbo the suck team game garbage
Bronze|clean bro glhf nice game you
Bronze|mid team game garbage afk
Silver|diff report mid you team useless
Gold|glhf are bro play the
Bronze|game stop garbage the useless
Platinum|play mid team game clutch
Bronze|diff game report team
Platinum|are mid afk
Silver|bot team play the are
Platinum|bro good you
Diamond|mb clean are you mid the
Silver|play wp mid
Silver|trash report game are
Platinum|my glhf game the good mid
Platinum|game diff mid stop
Gold|stop bro glhf you clutch
Gold|afk game bot useless stop
Gold|the stop trash
Diamond|mid play good clean stop game
Diamond|stop bro afk useless the
Silver|the team play stop useless bot
Silver|nice bro team play
Platinum|nice mid team play game
Platinum|good mid stop mb wp game
Silver|diff play bot the you my
Gold|the noob my stop
Silver|uninstall noob mid play team
Bronze|quit bro team report play the
Platinum|wp you my nice play mid clutch
Gold|nice bro clean stop team glhf game
Platinum|gg clutch you mid wp bro game
Bronze|clean gg good game are play
Bronze|bro the clean gg play game wp
Gold|play trash afk the useless bro stop
Platinum|useless noob play stop are the
Platinum|you useless play quit stop
Gold|bot team you stop
Gold|mid you garbo play noob bot
Gold|are gg clutch game stop mb
Bronze|you game report ez play
Platinum|mid gg clean the play save
Gold|the nice wp save bro
Diamond|you bro mid afk game
Grandmaster|bro are useless afk quit play stop
Grandmaster|play game thrower you are diff report
Diamond|play bro you ez thrower
Gold|stop bro noob suck the
Gold|game the team bro noob thrower garbage
Grandmaster|play ez my suck
Gold|game bot uninstall play the
Platinum|are play team save mb
Platinum|suck you play the
Platinum|clutch nice team my mid
Grandmaster|quit stop are mid afk play report
Silver|bro suck the are play bot thrower
Diamond|the my good team clutch
Grandmaster|mid ez stop are the trash garbo
Silver|are stop my wp
Platinum|play good are clean game nice
Gold|suck team bro
Diamond|bro gg mb my play
Silver|the thrower afk mid quit stop
Gold|my uninstall thrower bro diff stop
Platinum|clean are you nice
Celestial|clutch team bro wp glhf play
Silver|mid game glhf are stop
Gold|wp bro play good team my gg
Gold|bro garbage play
Gold|thrower mid ez game
Gold|are mid clutch
Gold|gg wp game mb play are
Diamond|bro thrower are game
Bronze|useless report the you
Bronze|game play diff team suck bot stop
Diamond|game afk you team stop
Gold|trash are ez quit the bro
Gold|diff garbage bro stop game suck
Gold|play stop are quit the
Diamond|useless stop my the
Gold|play you bot useless stop
Bronze|are garbage diff you mid garbo
Gold|gg you mid
Platinum|the bro wp clutch my
Platinum|thrower game afk useless team
Silver|bro my thrower trash are game
Diamond|are garbo team uninstall afk
Bronze|you uninstall game diff
Silver|glhf mid save the
Gold|game you play bot the report
Silver|the report thrower team useless bro
Bronze|my quit mid are team
Platinum|bro team ez play my uninstall useless
Gold|noob the are uninstall garbage
Silver|thrower stop uninstall team the trash bro
Bronze|play bro thrower afk garbage team mid
Gold|mid my stop bot
Gold|game my garbo mid you
Gold|gg play stop the
Silver|mid the my garbo thrower ez stop
Gold|team clean you clutch nice stop
Silver|good you bro team glhf game wp
Platinum|clutch stop my glhf
Bronze|ez my garbo are report you
Platinum|play are good bro you mb
Gold|mid you bro good save are
Silver|play mid garbo quit team noob
Silver|wp stop mid
Bronze|play bro you team ez garbo trash
Platinum|gg stop my
Platinum|report stop suck thrower my you
Silver|noob are diff quit mid
Gold|glhf play are my
Silver|afk stop garbage are report
Silver|my quit game play garbo team noob
Platinum|game you my bot quit
Gold|noob bro my stop afk
Diamond|clean the gg my good
Bronze|bro clutch gg you team glhf are
Silver|gg stop the save game
Bronze|uninstall are you report
Gold|game my uninstall useless you report the
Gold|mid afk trash are bot bro play
Bronze|game stop clutch
Silver|team you garbo garbage mid
Bronze|noob garbage you are game team
Diamond|bro uninstall team play thrower garbo you
Gold|the good team play
Bronze|my ez mid
Gold|are nice you
Platinum|team clean game my bro
Silver|my mb stop nice
Silver|stop mid bro useless
Grandmaster|you bro useless team are garbo
Platinum|stop ez play report
Platinum|clutch bro my mid team
Diamond|are bro trash afk you uninstall
Gold|are garbo play suck useless
Gold|bot garbage the mid quit play
Diamond|stop uninstall game are garbage
Bronze|stop thrower the you trash team
Bronze|garbo play quit useless team
Gold|mb gg my are good
Bronze|garbage bro play stop suck mid
Gold|gg good stop play the clean bro
Platinum|play glhf clutch save you the
Platinum|play team the save
Silver|stop ez report you
Silver|nice stop mid you the glhf
Gold|bro my afk
Gold|the team clean are mid
Silver|good stop my clutch nice you
Silver|uninstall afk the quit game you
Platinum|the trash afk team you mid
Diamond|my are the ez thrower mid diff
Bronze|the play bot uninstall
Silver|you good are
Bronze|my glhf bro you play clutch
Gold|clutch glhf stop bro are the save
Gold|nice team you mb game
Platinum|you thrower are garbo my mid
Bronze|mid my good game
Bronze|good the my
Silver|team thrower play noob
Gold|play gg my wp good
Grandmaster|my bot team game stop
Bronze|ez suck you are game stop bot
Silver|gg my stop mid team
Gold|save are game wp
Platinum|are my useless you thrower
Silver|stop useless are my play
Gold|team my uninstall garbo game trash
Gold|my game bro the useless
Platinum|clutch mb play good the game
Diamond|garbage you afk team
Silver|useless play thrower garbo my
Gold|glhf save game good play
Diamond|thrower noob afk game mid play stop
Gold|game useless play stop
Bronze|play suck mid stop
Platinum|mid nice you stop
Gold|are uninstall stop garbage my
Gold|diff afk are you
Gold|my ez the thrower you trash play
Diamond|are bot team
Gold|good bro team
Gold|diff bro the garbo
Bronze|thrower uninstall my quit you
Bronze|my useless stop suck are game
Silver|clean mid good you gg my
Platinum|are diff mid stop my garbage bot
Gold|report team trash game
Diamond|stop useless play bro you quit
Platinum|trash garbage you ez mid
Gold|garbage diff play ez stop my
Silver|mid diff you suck
Gold|ez quit are team my the useless
Silver|game play mid useless
Silver|the are gg bro
Bronze|diff useless quit mid my
Silver|bro uninstall game mid you diff thrower
Gold|mb play bro gg
Diamond|are useless stop game team bot
Gold|mid team bro stop thrower
Bronze|team wp my bro good nice play
Silver|bro clutch game save team my
Grandmaster|report the are mid my
Silver|gg mid bro my
Platinum|stop team glhf wp clean my
Bronze|stop report game play noob are
Silver|my game play quit report the
Grandmaster|bro bot diff stop report
Silver|ez noob bro trash my
Gold|my are mb
Gold|team are game uninstall suck
Bronze|you save are team nice clean
Diamond|afk are game stop garbage you
Platinum|useless my noob stop mid bot
Gold|my play report you
Silver|ez my thrower team play stop
Silver|bro my mb glhf stop
Gold|afk team quit ez bro
Gold|glhf bro game team clean
Celestial|the bro my stop gg
Silver|team mid gg mb you
Bronze|suck you the stop bot trash
Bronze|team mid suck game
Silver|mb are game play wp the
Gold|team play report stop uninstall thrower
Gold|mb play nice clean the team bro
Diamond|game bot stop
Gold|stop mb my are bro
Gold|are play my bro mb
Platinum|gg are glhf clean bro you
Silver|my ez stop game
Grandmaster|mid my useless
Silver|clutch you bro gg team
Gold|the useless bro play garbo game trash
Silver|nice stop the clutch wp are mid
Bronze|my stop clean mb bro play
Silver|my bro save you play
Diamond|report bro you
Platinum|report trash the suck play
Silver|my stop mid the quit
Platinum|game bro garbage report
Bronze|bro clutch the team play
Gold|bro nice mid game save
Gold|nice my clutch game
Bronze|bro you afk
Gold|play thrower quit stop useless
Bronze|you game suck
Gold|clean mid gg clutch you play
Platinum|play garbo are stop you
Silver|game play mid suck diff stop
Gold|you play clutch nice stop
Grandmaster|bot play uninstall bro diff mid the
Bronze|quit the stop useless
Platinum|thrower stop you
Gold|quit my you trash the garbo
Silver|uninstall quit thrower game the team
Platinum|stop mid play are bot
Silver|report you stop the play quit
Bronze|wp stop mb the good
Grandmaster|report game you
Silver|team clutch stop are
Diamond|diff afk the are team
Diamond|my noob mid are garbage
Gold|clutch mid save you gg stop
Bronze|bro noob are stop play
Grandmaster|suck the trash stop report
Bronze|thrower game bro suck ez are
Platinum|game clean save you stop gg
Gold|stop play team report game
Silver|play clean save wp mid game the
Silver|garbage bro uninstall the play
Bronze|suck afk stop you
Platinum|team game clean mid save the
Silver|you trash are team thrower useless stop
Platinum|wp good game team nice bro
Silver|thrower diff you garbo are bro team
Bronze|play wp are game stop
Diamond|the uninstall garbage team you are
Silver|my the are mb mid good
Silver|you the report game mid thrower garbage
Bronze|gg save wp play stop
Gold|mb play stop glhf
Gold|play team garbage game my afk useless
Silver|report bro noob my mid
Bronze|mid ez report team are garbage
Celestial|stop are team garbo
Gold|diff team bot game
Gold|garbo suck game mid team are
Grandmaster|are save the team wp
Silver|stop are the garbo game
Bronze|ez garbage mid bro
Gold|the clean clutch game mid play save
Diamond|trash report bro ez my game the
Gold|save are my
Silver|team play bro uninstall ez the report
Bronze|are my stop team diff garbage
Bronze|mid are ez
Gold|stop thrower mid the
Diamond|afk uninstall garbo team play
Grandmaster|mid noob bro uninstall game
Diamond|bro are game mid uninstall
Platinum|wp stop my clean glhf the
Gold|clutch nice my are wp bro
Gold|mid you game stop uninstall noob
Gold|clutch you game nice
Silver|are game suck the play
Diamond|are game the diff
Platinum|clean are glhf bro my the
Gold|clean the mb mid my
Bronze|are report bro bot garbage
Diamond|wp my gg mb game are team
Silver|are team afk garbo stop ez
Diamond|diff bro stop my
Gold|you trash my play the
Gold|mid noob game bot you
Gold|clean you mid team play gg
Gold|stop wp glhf team play are
Platinum|gg bro are save game
Diamond|mid mb stop the clutch you gg
Platinum|save team play mid nice my
Silver|good the game you are
Bronze|useless stop play uninstall
Grandmaster|are good my game play wp
Gold|my the save glhf nice game
Gold|gg good clutch team game bro
Gold|diff you stop game
Silver|are my team suck stop
Diamond|bro you clean game
Platinum|game mid my afk team
Gold|are ez game the
Silver|diff my ez game are the
Gold|you thrower game play
Bronze|play garbage trash quit you bro team
Bronze|the stop are mid suck
Bronze|mid glhf play team
Grandmaster|useless team game garbo
Gold|suck game stop trash thrower you mid
Platinum|mid ez you
Bronze|uninstall team the suck
Bronze|game you report are bro
Bronze|mid garbage stop the
Gold|gg play stop are
Silver|game gg bro nice are
Platinum|clean game play good team glhf
Bronze|you my trash bro ez game
Silver|game noob garbo mid
Silver|stop trash bro you
Bronze|my stop bro trash ez
Platinum|you nice gg game
Bronze|useless team stop noob uninstall
Bronze|stop trash you mid
Gold|team my mb game you wp
Grandmaster|good play mid the gg wp team
Platinum|you the useless team
Silver|are useless diff game you the noob
Bronze|team gg game save wp
Silver|stop trash suck are bro
Gold|report play game you team
Silver|you my clean
Grandmaster|good nice play stop the gg team
Gold|thrower game mid useless play ez
Silver|thrower trash my bro
Diamond|report diff you bro suck
Platinum|trash bro my afk
Gold|afk thrower bro my noob game
Gold|mb the stop you play
Silver|team game play garbo
Gold|bro are play good nice mb my
Bronze|my team diff suck mid
Silver|garbo you garbage my mid
Diamond|bro noob afk play
Celestial|clutch team good mid play
Diamond|play suck useless stop my diff mid
Gold|ez bro bot stop suck
Gold|you clean wp are play
Silver|bro play save you wp game
Platinum|glhf the my gg are
Silver|stop are noob mid uninstall
Platinum|the report bro
Gold|my thrower team bro you
Silver|garbo bro team mid are
Silver|mid suck my uninstall report
Platinum|game nice stop mb gg
Diamond|game suck bro stop report bot team
Gold|bro play garbo
Bronze|suck stop play bot afk
Gold|game are uninstall
Platinum|diff you mid trash ez
Gold|save you stop clean bro nice
Bronze|mid bro diff quit report stop
Silver|mb play you save good game
Platinum|bro ez mid game my
Platinum|mb play are nice you save
Platinum|my nice clean team you gg
Silver|clean glhf the wp my stop mid
Gold|wp you the are stop
Gold|good save game bro
Silver|are diff afk team bot bro
Bronze|ez the game are stop bot useless
Platinum|stop mb are bro you
Grandmaster|quit you play mid
Grandmaster|the garbage afk mid my game
Diamond|bro useless noob stop
Gold|report game stop play
Silver|my you game team uninstall
Silver|are mb you
Diamond|noob play ez team uninstall my the
Silver|quit play report stop
Bronze|the trash afk report are mid
Bronze|team bro clutch the
Platinum|bro stop mb gg you
Gold|game you play noob bro
Gold|useless bro game garbage quit team the
Diamond|useless you ez game the
Grandmaster|report bro garbo uninstall game
Platinum|noob my bot are play
Bronze|game bot team you
Platinum|mid my team diff bro
Platinum|the bot ez are
Platinum|report mid bro the my diff
Gold|the team stop my useless
Silver|stop nice are you mb good
Silver|thrower garbo game stop quit are
Gold|are my game bro useless
Platinum|wp team the mid nice bro
Bronze|bro team my afk
Diamond|suck you game garbo bro
Bronze|good mb play mid my nice
Bronze|quit are play my game
Bronze|stop bro bot the you
Gold|game mb mid team
Gold|thrower bro my you
Bronze|garbage bot play report you
Bronze|ez uninstall the game you play
Diamond|my uninstall are ez
Platinum|you good game are
Bronze|suck afk noob bro are
Silver|thrower the suck quit stop
Platinum|clean the nice play team stop
Bronze|ez you bro my the afk
Silver|diff game quit stop noob my
Platinum|clean you stop
Grandmaster|afk are the thrower team
Bronze|the garbo bot team are
Platinum|are team the good stop
Gold|game bro garbage suck thrower
Bronze|wp play you gg the
Silver|the garbo game trash stop
Platinum|are team wp
Gold|useless you trash the game are afk
Bronze|noob game play ez
Bronze|good you mid
Silver|diff bot play my are useless
Bronze|team garbo bro
Diamond|report play ez suck are stop
Diamond|you mid afk
Platinum|trash game noob are ez
Gold|bro clean play
Gold|clean game gg glhf mid
Platinum|trash report you the are stop
Bronze|play you wp
Bronze|suck you play team
Grandmaster|nice bro you
Bronze|team suck my afk useless play you
Bronze|stop you afk team
Platinum|the play are good my clean nice
Gold|the ez report garbo bro mid
Grandmaster|stop are noob mid
Gold|the game mid nice clean
Silver|team my bot garbo
Diamond|play game bro you quit
Platinum|afk team bro play
Gold|bro stop mid glhf
Diamond|my bro quit mid
Silver|stop bro suck play useless
Silver|mb good mid bro
Bronze|save my stop mid bro
Gold|bro mid stop garbo
Gold|game ez are play report
Diamond|thrower bro afk diff play are
Bronze|game stop wp
Bronze|my bot afk are you
Gold|are bro bot garbage uninstall
Platinum|wp the save bro
Silver|you team the clutch stop
Silver|play you the good stop gg
Gold|garbage uninstall stop the bro
Diamond|you stop trash play bot bro
Diamond|are the trash play
Gold|bro team noob bot
Platinum|bro nice glhf mb play
Diamond|you afk bro play
Silver|play my team clean mb save
Silver|noob game you report quit
Bronze|uninstall stop are diff
Gold|useless bro stop suck ez
Diamond|garbage game stop quit are suck
Platinum|team play good bro my
Bronze|my wp are mb clean
Silver|the glhf team gg clean mid play
Gold|team my clean game you gg
Gold|mid mb stop my good you
Gold|bot report bro stop game you
Diamond|team game trash quit
Gold|bro afk stop noob
Bronze|stop are diff mid play noob
Celestial|you clean the mid clutch game
Platinum|team the report stop bro
Silver|stop game clutch wp
Celestial|the play report uninstall
Silver|my report are play
Silver|you report are diff mid ez bro
Bronze|my bro are game glhf
Platinum|report are the play thrower
Bronze|bro noob the team quit game garbage
Gold|the mid thrower uninstall my you
Gold|diff play bro
Diamond|wp team are nice
Gold|game play mid mb my
Platinum|clean mid bro the mb
Grandmaster|you mid stop clean are
Silver|mid you nice clutch are team
Gold|bro glhf wp game
